23:36:05.084 INFO   - Point::loadXml identifier=HQ34	point	134 identifierIndex=137 posScreen=(23.3085, 1333) posGraph=(0, 0) ordinal=4
23:36:05.084 INFO   - Point::loadXml
23:36:05.084 INFO   - Point::loadXml identifier=HQ34	point	8 identifierIndex=137 posScreen=(24.6047, 1309.21) posGraph=(0, 0) ordinal=5
23:36:05.084 INFO   - Point::loadXml
23:36:05.084 INFO   - Point::loadXml identifier=HQ34	point	133 identifierIndex=137 posScreen=(27.0883, 1334.73) posGraph=(0, 0) ordinal=6
23:36:05.085 INFO   - Point::loadXml
23:36:05.085 INFO   - Point::loadXml identifier=HQ34	point	9 identifierIndex=137 posScreen=(28.5732, 1303.65) posGraph=(0, 0) ordinal=7
23:36:05.085 INFO   - Point::loadXml
23:36:05.085 INFO   - Point::loadXml identifier=HQ34	point	132 identifierIndex=137 posScreen=(31.498, 1335.99) posGraph=(0, 0) ordinal=8
23:36:05.085 INFO   - Point::loadXml
23:36:05.086 INFO   - Point::loadXml identifier=HQ34	point	10 identifierIndex=137 posScreen=(32.1449, 1299.68) posGraph=(0, 0) ordinal=9
23:36:05.086 INFO   - Point::loadXml
23:36:05.086 INFO   - Point::loadXml identifier=HQ34	point	131 identifierIndex=137 posScreen=(34.8053, 1336.78) posGraph=(0, 0) ordinal=10
23:36:05.086 INFO   - Point::loadXml
23:36:05.087 INFO   - Point::loadXml identifier=HQ34	point	11 identifierIndex=137 posScreen=(36.9071, 1293.73) posGraph=(0, 0) ordinal=11
23:36:05.087 INFO   - Point::loadXml
23:36:05.087 INFO   - Point::loadXml identifier=HQ34	point	130 identifierIndex=137 posScreen=(38.9001, 1338.04) posGraph=(0, 0) ordinal=12
23:36:05.087 INFO   - Point::loadXml
23:36:05.087 INFO   - Point::loadXml identifier=HQ34	point	12 identifierIndex=137 posScreen=(41.6693, 1288.97) posGraph=(0, 0) ordinal=13
23:36:05.088 INFO   - Point::loadXml
23:36:05.088 INFO   - Point::loadXml identifier=HQ34	point	129 identifierIndex=137 posScreen=(44.4122, 1338.98) posGraph=(0, 0) ordinal=14
23:36:05.088 INFO   - Point::loadXml
23:36:05.088 INFO   - Point::loadXml identifier=HQ34	point	13 identifierIndex=137 posScreen=(47.2252, 1284.6) posGraph=(0, 0) ordinal=15
23:36:05.088 INFO   - Point::loadXml
23:36:05.089 INFO   - Point::loadXml identifier=HQ34	point	128 identifierIndex=137 posScreen=(51.6568, 1340.4) posGraph=(0, 0) ordinal=16
23:36:05.089 INFO   - Point::loadXml
23:36:05.089 INFO   - Point::loadXml identifier=HQ34	point	14 identifierIndex=137 posScreen=(51.9874, 1280.24) posGraph=(0, 0) ordinal=17
23:36:05.089 INFO   - Point::loadXml
23:36:05.090 INFO   - Point::loadXml identifier=HQ34	point	127 identifierIndex=137 posScreen=(56.6964, 1341.97) posGraph=(0, 0) ordinal=18
23:36:05.090 INFO   - Point::loadXml
23:36:05.090 INFO   - Point::loadXml identifier=HQ34	point	15 identifierIndex=137 posScreen=(57.1464, 1275.87) posGraph=(0, 0) ordinal=19
23:36:05.090 INFO   - Point::loadXml
23:36:05.090 INFO   - Point::loadXml identifier=HQ34	point	126 identifierIndex=137 posScreen=(63.7835, 1342.45) posGraph=(0, 0) ordinal=20
23:36:05.091 INFO   - Point::loadXml
23:36:05.091 INFO   - Point::loadXml identifier=HQ34	point	16 identifierIndex=137 posScreen=(63.8929, 1271.11) posGraph=(0, 0) ordinal=21
23:36:05.092 INFO   - Point::loadXml
23:36:05.092 INFO   - Point::loadXml identifier=HQ34	point	17 identifierIndex=137 posScreen=(70.2425, 1266.75) posGraph=(0, 0) ordinal=22
23:36:05.092 INFO   - Point::loadXml
23:36:05.093 INFO   - Point::loadXml identifier=HQ34	point	125 identifierIndex=137 posScreen=(71.028, 1343.39) posGraph=(0, 0) ordinal=23
23:36:05.093 INFO   - Point::loadXml
23:36:05.093 INFO   - Point::loadXml identifier=HQ34	point	18 identifierIndex=137 posScreen=(76.1953, 1261.59) posGraph=(0, 0) ordinal=24
23:36:05.093 INFO   - Point::loadXml
23:36:05.094 INFO   - Point::loadXml identifier=HQ34	point	124 identifierIndex=137 posScreen=(79.8475, 1344.02) posGraph=(0, 0) ordinal=25
23:36:05.094 INFO   - Point::loadXml
23:36:05.094 INFO   - Point::loadXml identifier=HQ34	point	19 identifierIndex=137 posScreen=(82.5449, 1258.81) posGraph=(0, 0) ordinal=26
23:36:05.094 INFO   - Point::loadXml
23:36:05.095 INFO   - Point::loadXml identifier=HQ34	point	123 identifierIndex=137 posScreen=(88.1945, 1344.65) posGraph=(0, 0) ordinal=27
23:36:05.095 INFO   - Point::loadXml
23:36:05.095 INFO   - Point::loadXml identifier=HQ34	point	20 identifierIndex=137 posScreen=(89.2913, 1254.84) posGraph=(0, 0) ordinal=28
23:36:05.095 INFO   - Point::loadXml
